AREA FUNGSI KUNCI,KODE OKUPASI,OKUPASI,LEVEL
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0513,PENERAPAN & OPERASIONAL ERP MUDA (ASSOCIATE ERP DEPLOYMENT & OPERATION),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0512,ANALIS ERP MUDA (ASSOCIATE ERP ANALYST),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0511,ANALIS TEKNIS MUDA (ASSOCIATE TECHNICAL ANALYST),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0510,INSINYUR INTERAKTIF MUDA (ASSOCIATE INTERACTIVE ENGINEER),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0509,PENGELOLA SISTEM INFORMASI MANAJEMEN MUDA (ASSOCIATE MIS),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0508,PENGELOLA ASET IT MUDA (ASSOCIATE IT ASSET),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0507,MOBILE COMPUTING MUDA (ASSOCIATE MOBILE COMPUTING),5
"PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT)
",TIK.DEV0506,PENGUJI KUALITAS PERANGKAT LUNAK MUDA (ASSOCIATE SOFTWARE QUALITY TESTER),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0505,PEMROGRAM MOBILE MUDA (ASSOCIATE MOBILE PROGRAMMER),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0504,PEMROGRAM APLIKASI MUDA (ASSOCIATE APPLICATION PROGRAMMER),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0503,PEMROGRAM SISTEM MUDA (ASSOCIATE SYSTEMS PROGRAMMER),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0502,PEMROGRAM MUDA (ASSOCIATE PROGRAMMER),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0501,PEMROGRAM DATABASE MUDA (ASSOCIATE DATABASE PROGRAMMER),5
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0619,AHLI MANAJEMEN SUMBER DAYA PERUSAHAAN (ENTERPRISE RESOURCE MANAGEMENT SUBJECT MATTER EXPERT),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0618,PENGELOLA ERP (ERP OFFICER),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0617,SUPERVISOR TEKNIK MULTIMEDIA (MULTIMEDIA TECHNICAL SUPERVISOR),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0616,SUPERVISOR INFORMASI (INFORMATION SUPERVISOR),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0615,PENGEMBANG SISTEM PERANGKAT LUNAK (SOFTWARE SYSTEM DEVELOPER),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0614,SUPERVISOR DUKUNGAN TI (IT SUPPORT SUPERVISOR),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0613,ANALIS SISTEM (SYSTEM ANALYST),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0612    ,SUPERVISOR MOBILE COMPUTING (MOBILE COMPUTING SUPERVISOR),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0611,SUPERVISOR PEMROGRAM MOBILE (MOBILE PROGRAMMER SUPERVISOR),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0610,PENGEMBANG FRONTEND (FRONTEND DEVELOPER),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0609,PENGEMBANG BACKEND (BACKEND DEVELOPER),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0608,ANALIS PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ANALYST),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0607,ANALIS BISNIS (BUSINESS ANALYST),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0606,SUPERVISOR PEMROGRAM SISTEM (SYSTEMS PROGRAMMER SUPERVISOR),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0605,SUPERVISOR PEMROGRAM APLIKASI (APPLICATION PROGRAMMER SUPERVISOR),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0604,PENGEMBANG WEB (WEB DEVELOPER),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0603,PEMROGRAM BASISDATA (DATABASE PROGRAMMER),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0602,ANALIS PROGRAM (PROGRAM ANALYST),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0601,SUPERVISOR PEMROGRAM (PROGRAMMER SUPERVISOR),6
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0714,PEMROGRAM MOBILE (MOBILE PROGRAMMER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0713,MANAJER SISTEM INFORMASI MANAJEMEN (MIS MANAGER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0712,MANAJER DUKUNGAN TI (IT SUPPORT MANAGER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0708,INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0706,MANAJER INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER MANAGER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS MANAGER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0702,MANAJER REKAYASA PERANGKAT LUNAK (SOFTWARE ENGINEERING MANAGER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),7
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0801,KEPALA PEMROGRAM (LEAD PROGRAMMER),8
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0902,PEMIMPIN TEKNOLOGI (CHIEF TECHNOLOGY OFFICER),9
PENGEMBANGAN PRODUK DIGITAL (DIGITAL PRODUCT DEVELOPMENT),TIK.DEV0901,PEMIMPIN APLIKASI BISNIS (CHIEF BUSINESS APPLICATIONS OFFICER),9
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0202,Staf Anotator (Annotator Staff),2
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0201,Operator Entri Data (Data Entry Operator),2
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0301,Teknisi Manajemen Data (Data Management Technician),3
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0503,Insinyur Data Muda (Associate Data Engineer),5
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0502,Analis Data Muda (Associate Data Analyst),5
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0502,Ilmuwan Data Muda (Associate Data Scientist),5
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0607,Insinyur Kualitas Data (Data Quality Engineer),6
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0606,Anotator (Annotator),6
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0605,Analis Intelijen Bisnis (Business Intelligence Analyst),6
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0702,Database Administrator,6
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0603,Supervisor Insinyur Data (Data Engineer Supervisor),6
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),Data Analyst,ANALIS DATA (DATA ANALYST),6
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0601,Data Scientist Supervisor,6
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0605,AI Engineer,7
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0703,INSINYUR PEMBELAJARAN MESIN (MACHINE LEARNING ENGINEER),7
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0702,Insinyur Data (Data Engineer),7
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0701,Ilmuwan Data (Data Scientist),7
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0807,SPESIALIS ARSITEKTUR DATA (DATA ARCHITECTURE SPECIALIST),8
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0806,AI Solution Architecture Specialist (Spesialis Arsitektur Solusi Kecerdasan Artifisial),8
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0805,Lead AI Engineer,8
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0804,Lead Machine Learning Engineer,8
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0803,KEPALA INSINYUR DATA (LEAD DATA ENGINEER),8
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0802,Kepala Ilmuwan Data (Lead Data Scientist),8
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0801,KEPALA MANAJEMEN GUDANG DATA (LEAD DATA WAREHOUSE MANAGEMENT),8
Sains Data-Kecerdasan Artifisial (Data Science-Artificial Intelligence),TIK.DSC0901,Chief Data Officer (Pemimpin Data),9
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0301,PENGUJI KEAMANAN SIBER PERTAMA (JUNIOR PENETRATION TESTER),3
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0402,ASISTEN KEAMANAN SIBER (CYBER SECURITY ASSISTANT),4
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0401,ANALIS SOC TINGKAT 1 (L1 SOC ANALYST),4
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0507, Memutuskan diskoneksi bukti elektronik yang terkoneksi ke jaringan (networked devices),5
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0505,Information Security Awareness Counselor,5
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0508,PENANGAN PERTAMA BUKTI DIGITAL MUDA (ASSOCIATE DIGITAL EVIDENCE FIRST RESPONDER),5
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0506,PELAKSANA KEAMANAN INFORMASI (JUNIOR INFORMATION SECURITY),5
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0502,L2 SOC Analyst,5
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0503,Penetration Tester,5
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0501,OPERATOR KEAMANAN SIBER (CYBERSECURITY OPERATOR),5
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0504,Assistant Information Security Auditor,5
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0608,Incident Response Analyst,6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0601,ANALIS KEAMANAN SIBER (CYBERSECURITY ANALYST),6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0602,PEJABAT KESADARAN KEAMANAN SIBER (CYBERSECURITY AWARENESS OFFICER),6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0607,Cryptographic Module Analyst,6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0604,ICT Product Evaluator,6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0603,ADMINISTRATOR KEAMANAN JARINGAN (NETWORK SECURITY ADMINISTRATOR),6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0605,ADMINISTRATOR KEAMANAN SIBER (CYBERSECURITY ADMINISTRATOR),6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0606,ANALIS KRIPTOGRAFI (CRYPTOGRAPHIC ANALYST),6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0612,Penyelenggara Program Kesadaran Keamanan Informasi (Information Security Awareness Program Officer),6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0613,Analis Keamanan Informasi (Information Security Analyst),6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0614,Penangan Pertama Bukti Digital (Digital Evidence First Responder),6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0610,SUPERVISOR AUDIT KEAMANAN INFORMASI (INFORMATION SECURITY AUDIT SUPERVISOR),6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0611,Auditor Keamanan Informasi (Information Security Auditor),6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0609,ANALIS SOC TINGKAT 3 (L3 SOC ANALYST),6
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0712,Penguji Keamanan Siber Madya,7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0713,Manajer Program Kesadaran Keamanan Informasi,7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0704,KEPALA PETUGAS KESADARAN KEAMANAN SIBER (CYBERSECURITY AWARENESS LEAD OFFICER),7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0709,Digital Forensic Analyst,7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0710,MANAJER SOC (SOC MANAGER),7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0702,Cybersecurity Manager,7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0711,Manajer Audit Keamanan Informasi,7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0708,Cybersecurity Governance Officer,7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0703,Information Security Manager,7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0701,Network Security Manager,7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0707,Evaluator Utama Produk Keamanan TIK (ICT Security Product Lead Evaluator),7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0714,MANAJER KEAMANAN DATA (DATA SECURITY MANAGER),7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0716,MANAJER BUKTI DIGITAL (DIGITAL EVIDENCE MANAGER (DEM)),7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0715,Security and Workstations Manager,7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0705,Manajer Tim Tanggap Insiden (Incident Response Team Manager),7
KEAMANAN INFORMASI DAN SIBER (INFORMATION AND CYBER SECURITY),TIK.SEC0706,Perekayasa Kriptografi (Cryptographic Engineer),7
